dblabel,hour_bins,labels,image_id,views
0,day,Natural Landscape,3,96
0,day,Urban Scenes,6,93
1,day,Urban Scenes,4,5064
1,night,Natural Landscape,1,63
1,night,Urban Scenes,9,75
8,day,Urban Scenes,10,58
9,day,Urban Scenes,4,1029
9,night,Urban Scenes,9,1850
10,day,Food,39,1678
13,day,Natural Landscape,1,134
13,day,Urban Scenes,19,1750
14,day,Urban Scenes,9,613
16,day,Urban Scenes,21,390
18,day,Natural Landscape,4,524
18,day,Urban Scenes,37,2329
20,day,Urban Scenes,45,1776
20,night,Urban Scenes,5,456
22,night,Urban Scenes,78,1637
23,day,Food,6,11813
23,day,Natural Landscape,32,4231
23,day,Urban Scenes,34,4507
23,day,people,3,313
23,day,wildlife,55,20484
23,night,Food,2,53
23,night,Natural Landscape,6,387
23,night,Urban Scenes,43,948
23,night,drinks,1,33
23,night,people,4,634
23,night,wildlife,18,6454
24,day,Food,22,6950
24,day,Natural Landscape,853,105879
24,day,Urban Scenes,23,3549
24,day,drinks,1,17
24,day,people,46,29587
24,day,wildlife,240,206891
24,night,Food,2,60
24,night,Natural Landscape,136,21957
24,night,Urban Scenes,6,2553
24,night,people,17,9853
24,night,wildlife,38,7294
25,day,Food,2,546
25,day,Natural Landscape,20,2786
25,day,Others,1,33
25,day,Urban Scenes,110,8491
25,day,people,15,3316
25,day,wildlife,12,1184
25,night,Food,3,23908
25,night,Natural Landscape,7,423
25,night,Others,1,107
25,night,Urban Scenes,21,8393
25,night,people,5,2177
26,day,Food,485,282751
26,day,Natural Landscape,117,34943
26,day,Others,23,2193
26,day,Urban Scenes,574,201782
26,day,drinks,51,11090
26,day,people,206,117296
26,day,wildlife,48,14659
26,night,Food,479,172471
26,night,Natural Landscape,29,6467
26,night,Others,2,612
26,night,Urban Scenes,368,71662
26,night,drinks,65,9401
26,night,people,135,79653
26,night,wildlife,11,8954
27,day,Food,7,859
27,day,Urban Scenes,7,5533
27,day,drinks,9,557
27,day,people,5,546
27,day,wildlife,1,119
27,night,Food,5,467
27,night,Urban Scenes,3,1374
27,night,drinks,5,488
27,night,people,6,523
27,night,wildlife,2,347
28,day,Food,1,37
28,day,Natural Landscape,4,2653
28,day,Urban Scenes,18,2345
28,day,people,4,2035
28,day,wildlife,8,739
28,night,Food,1,1810
28,night,Natural Landscape,1,421
28,night,Urban Scenes,2,66
29,day,Urban Scenes,6,697
29,night,Urban Scenes,2,1527
30,day,Food,6,115
30,day,Natural Landscape,1,11
30,day,Urban Scenes,6,1545
30,night,Food,1,215
30,night,Urban Scenes,1,131
30,night,people,1,59
31,day,Food,11,802
31,day,Natural Landscape,5,285
31,day,people,8,11930
31,day,wildlife,1721,237961
31,night,Natural Landscape,1,1010
31,night,people,4,107
31,night,wildlife,159,25792
32,day,Food,3,185
32,day,people,1,29
32,night,Food,37,1422
32,night,Urban Scenes,2,959
32,night,drinks,3,849
32,night,people,35,4488
32,night,wildlife,18,259
34,day,Food,48,924
34,day,Urban Scenes,21,3027
34,day,people,3,747
34,night,Food,3,53
34,night,drinks,3,540
34,night,people,1,82
35,day,Natural Landscape,3,190
35,day,Others,1,62
35,day,Urban Scenes,7,1072
35,day,people,9,443
35,day,wildlife,1,16
35,night,Food,1,41
35,night,Natural Landscape,3,175
35,night,Urban Scenes,8,122
35,night,people,2,166
36,day,Food,237,75760
36,day,Natural Landscape,14,1327
36,day,Urban Scenes,77,21811
36,day,drinks,15,4295
36,day,people,33,22710
36,day,wildlife,6,1498
36,night,Food,211,43088
36,night,Natural Landscape,4,468
36,night,Urban Scenes,105,21699
36,night,drinks,27,5116
36,night,people,41,14276
36,night,wildlife,4,1147
37,day,Food,1,54
37,day,Natural Landscape,6,282
37,day,Urban Scenes,61,25951
37,day,people,1,61
37,night,Food,1,30243
37,night,Natural Landscape,7,10822
37,night,Others,2,287
37,night,Urban Scenes,14,15387
37,night,people,2,100
38,day,Natural Landscape,5,8066
38,day,Urban Scenes,17,8567
38,day,wildlife,1,1143
38,night,Natural Landscape,1,184
38,night,Urban Scenes,7,7363
38,night,people,2,334
38,night,wildlife,1,27
39,day,Food,1,958
39,day,Natural Landscape,4,273
39,day,Urban Scenes,1,92
39,day,people,1,95
39,night,Natural Landscape,2,64
40,day,Food,1,51
40,day,Natural Landscape,12,7745
40,day,Urban Scenes,11,4258
40,day,people,1,716
40,day,wildlife,26,74856
40,night,Natural Landscape,4,751
40,night,Urban Scenes,3,1121
41,day,Food,20,1560
41,day,Urban Scenes,3,203
42,day,Food,1,42
42,day,Natural Landscape,21,11911
42,day,Others,2,44
42,day,Urban Scenes,15,4994
42,day,people,5,284
42,day,wildlife,2,1731
42,night,Natural Landscape,8,3444
42,night,Urban Scenes,2,1379
42,night,people,2,1374
43,day,Food,3,1016
43,day,Natural Landscape,2,331
43,day,Urban Scenes,12,13609
43,day,drinks,1,217
43,day,people,2,459
43,night,Food,5,308
43,night,drinks,2,201
43,night,people,2,83
44,day,Natural Landscape,3,3399
44,day,Urban Scenes,1,56
44,day,people,1,1349
44,night,Food,1,90
44,night,Natural Landscape,1,46
44,night,people,1,1560
45,day,Food,128,37927
45,day,Natural Landscape,6,335
45,day,Others,1,719
45,day,Urban Scenes,246,40644
45,day,drinks,9,1720
